"","item_ID","label","english","description","comment","response_scale_discrete","response_scale_vas","branched_from","branched_response","beep_level","beeps_per_day","morning","evening","event","other","children","adolescents","adults","elderly","gen_pop","outpatient","inpatient","which","dataset","contact","open","open_link","request","closed","citation","existing_adapt","existing_ref","how_admin","how_long_beep","reliability","validity","development","item_use","item_instructions","item_other","X","tag"
"368",368,"op dit moment voel ik me prikkelbaar","right now, i feel irritable","negative affect/ high arousal","","niet 1 2 3 4 5 6 7  zeer","","","","","","","","","","no","no","yes","no","yes","no","no","","methodological study","inez myin-germeys, inez.germeys@kuleuven.be","no","n.a.","yes, inez.germeys@kuleuven.be ","n.a.","peeters, f., nicholson, n. a., & berkhof, j. (2003). cortisol responses to daily events in major depressive disorder. psychosom med, 65(5), 836-841.","","","phone","90 seconds","","","","","","",368,"negative affect"
"369",369,"op dit moment voel ik me gespannen","right now, i feel nervous","negative affect/ high arousal","","niet 1 2 3 4 5 6 7  zeer","","","","","","","","","","no","no","yes","no","yes","no","no","","methodological study","inez myin-germeys, inez.germeys@kuleuven.be","no","n.a.","yes, inez.germeys@kuleuven.be ","n.a.","peeters, f., nicholson, n. a., & berkhof, j. (2003). cortisol responses to daily events in major depressive disorder. psychosom med, 65(5), 836-841.","","","phone","90 seconds","","","","","","",369,"anxiety;negative affect;worry"
"370",370,"op dit moment voel ik me teleurgesteld","right now, i feel disappointed","negative affect/ neutral arousal","","niet 1 2 3 4 5 6 7  zeer","","","","","","","","","","no","no","yes","no","yes","no","no","","methodological study","inez myin-germeys, inez.germeys@kuleuven.be","no","n.a.","yes, inez.germeys@kuleuven.be ","n.a.","geschwind, n., peeters, f., drukker, m., van os, j., & wichers, m. (2011). mindfulness training increases momentary positive emotions and reward experience in adults vulnerable to depression: a randomized controlled trial. j consult clin psychol, 79(5), 618-628. doi:10.1037/a0024595","","","phone","90 seconds","","","","","","",370,"negative affect"
"371",371,"op dit moment voel ik me rusteloos","right now, i feel restless","negative affect/ high arousal","","niet 1 2 3 4 5 6 7  zeer","","","","","","","","","","no","no","yes","no","yes","no","no","","methodological study","inez myin-germeys, inez.germeys@kuleuven.be","no","n.a.","yes, inez.germeys@kuleuven.be ","n.a.","matcham, f., barattieri di san pietro, c., bulgari, v., de girolamo, g., dobson, r., eriksson, h.,… hotopf, m. (2019). remote assessment of disease and relapse in major depressive disorder (radar-mdd): a multi-centre prospective cohort study protocol. bmc psychiatry, 19(1), 72. https://doi.org/10.1186/s12888-019-2049-z","","","phone","90 seconds","","","","","","",371,"negative affect"
"372",372,"op dit moment voel ik me vermoeid.","right now, i feel fatigued","fatigue / negative affect / low arousal","","niet 1 2 3 4 5 6 7  zeer","","","","","","","","","","no","no","yes","no","yes","no","no","","methodological study","inez myin-germeys, inez.germeys@kuleuven.be","no","n.a.","yes, inez.germeys@kuleuven.be ","n.a.","","original item was translated and changed to be in the same format as the other items.","van hooff, m. l., geurts, s. a., kompier, m. a., & taris, t. w. (2007). "" how fatigued do you currently feel?"" convergent and discriminant validity of a single-item fatigue measure. journal of occupational health, 49(3), 224-234.","phone","90 seconds","","","","","","",372,"fatigue;negative affect"
"373",373,"op dit moment ben ik  me bewust van mijn emoties","right now, i am aware of my feelings","awareness / clarity","","niet 1 2 3 4 5 6 7  zeer","","","","","","","","","","no","no","yes","no","yes","no","no","","methodological study","inez myin-germeys, inez.germeys@kuleuven.be","no","n.a.","yes, inez.germeys@kuleuven.be ","n.a.","","tranlated and adapted. ","lavender, j. m., tull, m. t., dilillo, d., messman-moore, t., & gratz, k. l. (2017). development and validation of a state-based measure of emotion dysregulation: the state difficulties in emotion regulation scale (s-ders). Assessment, 24(2), 197–209. https://doi.org/10.1177/1073191115601218","phone","90 seconds","","","","","","",373,"emotion regulation"
"374",374,"ik vind het moeilijk om in een cijfer weer te geven hoe ik me voel.","i found it difficult to indicate in a number how i was feeling","ease of responding","","niet 1 2 3 4 5 6 7  zeer","","","","","","","","","","no","no","yes","no","yes","no","no","","methodological study","inez myin-germeys, inez.germeys@kuleuven.be","no","n.a.","yes, inez.germeys@kuleuven.be ","n.a.","","wording slightly changed to be more precise. ","reininghaus, u., et al. (2019). efficacy of acceptance and commitment therapy in daily life (act-dl): study protocol for a multi-centre randomized controlled trial. manuscript submitted fro publication. ","phone","90 seconds","","","adaptations were based on pilot tests and feedback from a focus group of researchers. ","","","",374,"methodological"
"375",375,"op dit moment voel ik mei zelfverzekerd","right now, i feel self-confident","self-esteem - general","","niet 1 2 3 4 5 6 7  zeer","","","","","","","","","","no","no","yes","no","yes","no","no","","methodological study","inez myin-germeys, inez.germeys@kuleuven.be","no","n.a.","yes, inez.germeys@kuleuven.be ","n.a.","matcham, f., barattieri di san pietro, c., bulgari, v., de girolamo, g., dobson, r., eriksson, h.,… hotopf, m. (2019). remote assessment of disease and relapse in major depressive disorder (radar-mdd): a multi-centre prospective cohort study protocol. bmc psychiatry, 19(1), 72. https://doi.org/10.1186/s12888-019-2049-z","","","phone","90 seconds","","","","","","",375,"self-esteem"
"376",376,"op dit moment ben ik tevreden met mijn uiterlijk","right now, i  feel good about my appearance","self-esteem - physical","","niet 1 2 3 4 5 6 7  zeer","","","","","","","","","","no","no","yes","no","yes","no","no","","methodological study","inez myin-germeys, inez.germeys@kuleuven.be","no","n.a.","yes, inez.germeys@kuleuven.be ","n.a.","","translated. ","english item based on fuller-tyszkiewicz, m., mccabe, m., skouteris, h., richardson, b., nihill, k., watson, b., & solomon, d. (2015). does body satisfaction influence self-esteem in adolescents' daily lives? an experience sampling study. journal of adolescence, 45, 11-19.","phone","90 seconds","","","","","","",376,"body image;self-esteem"
"377",377,"op dit moment schaam ik me voor mezelf","right now, i am ashamed of myself","self-esteem -  social / negative affect / self-conscious","","niet 1 2 3 4 5 6 7  zeer","","","","","","","","","","no","no","yes","no","yes","no","no","","methodological study","inez myin-germeys, inez.germeys@kuleuven.be","no","n.a.","yes, inez.germeys@kuleuven.be ","n.a.","collip, d., nicolson, n. a., lardinois, m., lataster, t., van os, j., & myin-germeys, i. (2011). daily cortisol, stress reactivity and psychotic experiences in individuals at above average genetic risk for psychosis. psychol med, 41(11), 2305-2315. doi:10.1017/s0033291711000602","","","phone","90 seconds","","","","","","",377,"negative affect;self-esteem"
"378",378,"ik ben aan het nadenken over mijn problemen.","i am thinking about my problems.","rumination - intensity of focus on problems","","niet 1 2 3 4 5 6 7  zeer","","","","","","","","","","no","no","yes","no","yes","no","no","","methodological study","inez myin-germeys, inez.germeys@kuleuven.be","no","n.a.","yes, inez.germeys@kuleuven.be ","n.a.","","item adapted and translated","moberly, n. j., & watkins, e. r. (2008). ruminative self-focus and negative affect: an experience sampling study. journal of abnormal psychology, 117(2), 314.","phone","90 seconds","","","","","","",378,"attention;rumination"
"379",379,"ik ben aan het nadenken over mijn gevoelens.","i am thinking about my feelings.","rumination - intensity of focus on feelings","","niet 1 2 3 4 5 6 7  zeer","","","","","","","","","","no","no","yes","no","yes","no","no","","methodological study","inez myin-germeys, inez.germeys@kuleuven.be","no","n.a.","yes, inez.germeys@kuleuven.be ","n.a.","","item adapted and translated","moberly, n. j., & watkins, e. r. (2008). ruminative self-focus and negative affect: an experience sampling study. journal of abnormal psychology, 117(2), 314.","phone","90 seconds","","","","","","",379,"attention;rumination;emotion regulation"
"380",380,"ik ben aan het piekeren","i am ruminating.","rumination - intensity general","","niet 1 2 3 4 5 6 7  zeer","","","","","","","","","","no","no","yes","no","yes","no","no","","methodological study","inez myin-germeys, inez.germeys@kuleuven.be","no","n.a.","yes, inez.germeys@kuleuven.be ","n.a.","matcham, f., barattieri di san pietro, c., bulgari, v., de girolamo, g., dobson, r., eriksson, h.,… hotopf, m. (2019). remote assessment of disease and relapse in major depressive disorder (radar-mdd): a multi-centre prospective cohort study protocol. bmc psychiatry, 19(1), 72. https://doi.org/10.1186/s12888-019-2049-z","","","phone","90 seconds","","","","","","",380,"rumination"
"381",381,"in welke mate heb ik sinds de vorige beep mijn aandacht van mijn emoties proberen af te leiden?","to what extent did i, since the last beep, try to distract myself from my feelings?","emotion regulation - distraction","","niet 1 2 3 4 5 6 7  zeer","","","","","","","","","","no","no","yes","no","yes","no","no","","methodological study","inez myin-germeys, inez.germeys@kuleuven.be","no","n.a.","yes, inez.germeys@kuleuven.be ","n.a.","","original wording slightly changed and response scale changed from 0 - 100 to 1- 7","pasyugina, i., koval, p., de leersnyder, j., mesquita, b., & kuppens, p. (2015). distinguishing between level and impact of rumination as predictors of depressive symptoms: an experience sampling study. cognition and emotion, 29(4), 736-746.","phone","90 seconds","","","","","""did you actively try to distract yourself from your problems, for instance by watching television or doing sports. ""","",381,"attention;emotion regulation"
"382",382," in welke mate heb ik sinds de vorige beep het uiten van mijn emoties proberen te onderdrukken?","to what extent did i, since the last beep, try to suppress the expression my feelings?","emotion regulation - expressive suppression","","niet 1 2 3 4 5 6 7  zeer","","","","","","","","","","no","no","yes","no","yes","no","no","","methodological study","inez myin-germeys, inez.germeys@kuleuven.be","no","n.a.","yes, inez.germeys@kuleuven.be ","n.a.","","original wording slightly changed and response scale changed from 0 -100 to 1- 7","brans, k., koval, p., verduyn, p., lim, y. l., & kuppens, p. (2013). the regulation of negative and positive affect in daily life. emotion, 13(5), 926.","phone","90 seconds","","","","","","",382,"emotion regulation"
"383",383,"in welke mate heb ik sinds de vorige beep met anderen over mijn emoties gepraat?","to what extent did i, since the last beep, talk about my feelings with others?","emotion regulation - expression","","niet 1 2 3 4 5 6 7  zeer","","","","","","","","","","no","no","yes","no","yes","no","no","","methodological study","inez myin-germeys, inez.germeys@kuleuven.be","no","n.a.","yes, inez.germeys@kuleuven.be ","n.a.","","original wording slightly changed and response scale changed from 0 - 100 to 1- 7","brans, k., koval, p., verduyn, p., lim, y. l., & kuppens, p. (2013). the regulation of negative and positive affect in daily life. emotion, 13(5), 926.","phone","90 seconds","","","","","","",383,"emotion regulation"
"384",384,"in welke mate heb ik sinds de vorige beep geprobeerd om op een andere manier naar mijn problemen te kijken?","to what extent did i, since the last beep, try to look at the cause of my feelings from a different perspective","emotion regulation - reappraisal","","niet 1 2 3 4 5 6 7  zeer","","","","","","","","","","no","no","yes","no","yes","no","no","","methodological study","inez myin-germeys, inez.germeys@kuleuven.be","no","n.a.","yes, inez.germeys@kuleuven.be ","n.a.","","original wording slightly changed and response scale changed from 0 - 100 to 1- 7","brans, k., koval, p., verduyn, p., lim, y. l., & kuppens, p. (2013). the regulation of negative and positive affect in daily life. emotion, 13(5), 926.","phone","90 seconds","","","","","you tried to look at a problem from a different perspective. for instance you could have tried to put your problem into perspective or to see something positive in a negative situation. ","",384,"emotion regulation"
"385",385,"in welke mate kan ik met mijn huidige situatie omgaan?","to what extent can i emotionally cope with my current situation?","emotional coping self efficacy","","niet 1 2 3 4 5 6 7  zeer","","","","","","","","","","no","no","yes","no","yes","no","no","","methodological study","inez myin-germeys, inez.germeys@kuleuven.be","no","n.a.","yes, inez.germeys@kuleuven.be ","n.a.","eisele et al., in preparation"," ","","phone","90 seconds","","","item was developped in focus group of esm researchers. ","","with this question we would like to know if you have the feeling that you can emotionally cope with the situation or if you have the feeling that you are overwhelmed by it. with situation we mean what happened just before the beep","",385,"coping;emotion regulation"
"386",386,"in welke mate heb ik me sinds de vorige beep zorgen gemaakt?","to what extent have i been worrying since the last beep?","worry","","niet 1 2 3 4 5 6 7  zeer","","","","","","","","","","no","no","yes","no","yes","no","no","","methodological study","inez myin-germeys, inez.germeys@kuleuven.be","no","n.a.","yes, inez.germeys@kuleuven.be ","n.a.","","original item was translated and slightly adapted","hartley, s., haddock, g., e sa, d. v., emsley, r., & barrowclough, c. (2014). an experience sampling study of worry and rumination in psychosis. psychological medicine, 44(8), 1605-1614","phone","90 seconds","","","","","","",386,"worry"
"387",387,"ik heb pijn","physically, i am in pain","physical wellbeing - pain","","niet 1 2 3 4 5 6 7  zeer","","","","","","","","","","no","no","yes","no","yes","no","no","","methodological study","inez myin-germeys, inez.germeys@kuleuven.be","no","n.a.","yes, inez.germeys@kuleuven.be ","n.a.","matcham, f., barattieri di san pietro, c., bulgari, v., de girolamo, g., dobson, r., eriksson, h.,… hotopf, m. (2019). remote assessment of disease and relapse in major depressive disorder (radar-mdd): a multi-centre prospective cohort study protocol. bmc psychiatry, 19(1), 72. https://doi.org/10.1186/s12888-019-2049-z","","","phone","90 seconds","","","","","we mean physical pain, not emotional. ","",387,"physical health"
"388",388,"ik heb honger"," i am hungry","physical wellbeing - hunger","","niet 1 2 3 4 5 6 7  zeer","","","","","","","","","","no","no","yes","no","yes","no","no","","methodological study","inez myin-germeys, inez.germeys@kuleuven.be","no","n.a.","yes, inez.germeys@kuleuven.be ","n.a.","collip, d., nicolson, n. a., lardinois, m., lataster, t., van os, j., & myin-germeys, i. (2011). daily cortisol, stress reactivity and psychotic experiences in individuals at above average genetic risk for psychosis. psychol med, 41(11), 2305-2315. doi:10.1017/s0033291711000602","","","phone","90 seconds","","","","","","",388,"physical health"
"389",389,"sinds de vorige piep heb ik me lichamelijk ingespannen","since the last beep i have been physically active","physical activity","","niet 1 2 3 4 5 6 7  zeer","","","","","","","","","","no","no","yes","no","yes","no","no","","methodological study","inez myin-germeys, inez.germeys@kuleuven.be","no","n.a.","yes, inez.germeys@kuleuven.be ","n.a.","geschwind, n., peeters, f., drukker, m., van os, j., & wichers, m. (2011). mindfulness training increases momentary positive emotions and reward experience in adults vulnerable to depression: a randomized controlled trial. j consult clin psychol, 79(5), 618-628. doi:10.1037/a0024595","","","phone","90 seconds","","","","","this can be any kind of physical activity. if for inatnce you were sitting on a couch or chair the whole time this would be 0 and if you were doing sports it would be a high number. if you went for a walk it would be something in between. ","",389,"activity"
"390",390,"wat ben ik aan het doen (voor de beep)? (meer dan een antwoord mogelijk)","what am i doing (just before the beep)? (possible to choose more than one option)","activity","participants can select more than one option.","nothing; resting; eating/drinking; passive leisure (tv, computer, videogames, reading); active leisure (walking, sports, gardening, going out); travel/ on the way; household/groceries; work/study; self-care; interaction/conversation; mobile phone/social media; something else   niets; rusten; eten/drinken; passieve vrije tijdsbesteding (tv, computer, gamen, lezing); actieve vrijetijdsbesteding (wandelen, sporten, tuinieren, uitgaan); reizen/ onderweg; huishouden/boodschappen; werk/studie; zelfverzorging; interactie/gesprek; mobiele telefoon/sociale media; iets anders","","","","","","","","","","no","no","yes","no","yes","no","no","","methodological study","inez myin-germeys, inez.germeys@kuleuven.be","no","n.a.","yes, inez.germeys@kuleuven.be ","n.a.","matcham, f., barattieri di san pietro, c., bulgari, v., de girolamo, g., dobson, r., eriksson, h.,… hotopf, m. (2019). remote assessment of disease and relapse in major depressive disorder (radar-mdd): a multi-centre prospective cohort study protocol. bmc psychiatry, 19(1), 72. https://doi.org/10.1186/s12888-019-2049-z","","","phone","90 seconds","","","","","you can choose more than one option, so if you for instance are eating and talking to a friend, we would like to ask you to tick both boxes. passive is activity were you do move only very little such as watching tv or reading. active means that you move a lot. ","",390,"activity"
"391",391,"ik voel me gemotiveerd om dit te doen","i feel motivated","activity appraisal","","niet 1 2 3 4 5 6 7  zeer","","","","","","","","","","no","no","yes","no","yes","no","no","","methodological study","inez myin-germeys, inez.germeys@kuleuven.be","no","n.a.","yes, inez.germeys@kuleuven.be ","n.a.","","","","phone","90 seconds","","","","","","",391,"appraisal;motivation;activity"
"392",392,"dit kost me moeite","this activity requires effort.","activity appraisal","","niet 1 2 3 4 5 6 7  zeer","","","","","","","","","","no","no","yes","no","yes","no","no","","methodological study","inez myin-germeys, inez.germeys@kuleuven.be","no","n.a.","yes, inez.germeys@kuleuven.be ","n.a.","reininghaus, u., et al. (2019). efficacy of acceptance and commitment therapy in daily life (act-dl): study protocol for a multi-centre randomized controlled trial. manuscript submitted fro publication. ","","","phone","90 seconds","","","","","","",392,"appraisal;activity"
"393",393,"dit kan ik goed ","i can do this well","activity self efficiency","","niet 1 2 3 4 5 6 7  zeer","","","","","","","","","","no","no","yes","no","yes","no","no","","methodological study","inez myin-germeys, inez.germeys@kuleuven.be","no","n.a.","yes, inez.germeys@kuleuven.be ","n.a.","matcham, f., barattieri di san pietro, c., bulgari, v., de girolamo, g., dobson, r., eriksson, h.,… hotopf, m. (2019). remote assessment of disease and relapse in major depressive disorder (radar-mdd): a multi-centre prospective cohort study protocol. bmc psychiatry, 19(1), 72. https://doi.org/10.1186/s12888-019-2049-z","","","phone","90 seconds","","","","","","",393,"appraisal;activity"
"394",394,"ik zou liever iets anders doen","i would rather do something else","activity appraisal","","niet 1 2 3 4 5 6 7  zeer","","","","","","","","","","no","no","yes","no","yes","no","no","","methodological study","inez myin-germeys, inez.germeys@kuleuven.be","no","n.a.","yes, inez.germeys@kuleuven.be ","n.a.","matcham, f., barattieri di san pietro, c., bulgari, v., de girolamo, g., dobson, r., eriksson, h.,… hotopf, m. (2019). remote assessment of disease and relapse in major depressive disorder (radar-mdd): a multi-centre prospective cohort study protocol. bmc psychiatry, 19(1), 72. https://doi.org/10.1186/s12888-019-2049-z","","","phone","90 seconds","","","","","","",394,"appraisal;activity"
"395",395,"waar ben ik?","where am i?","location","","home/student accommodation friend or relative's home/student accommodation school/university  work  bar/restaurant/café/party public transport/car/on the go  somewhere else outside  somewhere else inside  thuis/kot; bij familie of vrienden; op het werk of op school;  bar/restaurant/cafe/party onderweg; ergens anders in een gebouw; ergens anders buiten;","","","","","","","","","","no","no","yes","no","yes","no","no","","methodological study","inez myin-germeys, inez.germeys@kuleuven.be","no","n.a.","yes, inez.germeys@kuleuven.be ","n.a.","","the response options of the original item were slightly adapted to fit the target population. ","matcham, f., barattieri di san pietro, c., bulgari, v., de girolamo, g., dobson, r., eriksson, h.,… hotopf, m. (2019). remote assessment of disease and relapse in major depressive disorder (radar-mdd): a multi-centre prospective cohort study protocol. bmc psychiatry, 19(1), 72. https://doi.org/10.1186/s12888-019-2049-z","phone","90 seconds","","","","","","",395,"location"
"396",396,"ben ik op dit moment alleen?","am i alone?","company alone","","ja nee","","","","","","","","","","no","no","yes","no","yes","no","no","","methodological study","inez myin-germeys, inez.germeys@kuleuven.be","no","n.a.","yes, inez.germeys@kuleuven.be ","n.a.","","","","phone","90 seconds","","","","","""we mean physically alone. so if someone is in the same room as you. ""","",396,"social context"
"397",397,"met wie ben ik?","who am i with?","company","participants can select more than one option.","vrienden huisgenoten familie partner onbekenden Collega's/ medestudenten kennissen Anders","","ben ik op dit moment alleen?","scoring <no> on the question ","","","","","","","no","no","yes","no","yes","no","no","","methodological study","inez myin-germeys, inez.germeys@kuleuven.be","no","n.a.","yes, inez.germeys@kuleuven.be ","n.a.","","answer options were adapted to fit the target population.","matcham, f., barattieri di san pietro, c., bulgari, v., de girolamo, g., dobson, r., eriksson, h.,… hotopf, m. (2019). remote assessment of disease and relapse in major depressive disorder (radar-mdd): a multi-centre prospective cohort study protocol. bmc psychiatry, 19(1), 72. https://doi.org/10.1186/s12888-019-2049-z","phone","90 seconds","","","","","","",397,"social context"
"398",398,"ik vind dit gezelschap aangenaam.","i feel comfortable in this company ","company appraisal","","","","","","","","","","","","","","","","","","","","","inez myin-germeys, inez.germeys@kuleuven.be","","","","","matcham, f., barattieri di san pietro, c., bulgari, v., de girolamo, g., dobson, r., eriksson, h., … hotopf, m. (2019). remote assessment of disease and relapse in major depressive disorder (radar-mdd): a multi-centre prospective cohort study protocol. bmc psychiatry, 19(1), 72. https://doi.org/10.1186/s12888-019-2049-z","","","","","","","","","","",398,"appraisal;social support"
"399",399,"het voelt ok om alleen te zijn.","it feels ok to be alone","company appraisal","","niet 1 2 3 4 5 6 7  zeer","","","","","","","","","","no","no","yes","no","yes","no","no","","methodological study","inez myin-germeys, inez.germeys@kuleuven.be","no","n.a.","yes, inez.germeys@kuleuven.be ","n.a.","matcham, f., barattieri di san pietro, c., bulgari, v., de girolamo, g., dobson, r., eriksson, h., … hotopf, m. (2019). remote assessment of disease and relapse in major depressive disorder (radar-mdd): a multi-centre prospective cohort study protocol. bmc psychiatry, 19(1), 72. https://doi.org/10.1186/s12888-019-2049-z","","","phone","90 seconds","","","","","","",399,"appraisal"
"400",400,"ik zou liever alleen zijn.","i would rather be alone","company appraisal","","","","","","","","","","","","","","","","","","","","methodological study","inez myin-germeys, inez.germeys@kuleuven.be","","","","","matcham, f., barattieri di san pietro, c., bulgari, v., de girolamo, g., dobson, r., eriksson, h., … hotopf, m. (2019). remote assessment of disease and relapse in major depressive disorder (radar-mdd): a multi-centre prospective cohort study protocol. bmc psychiatry, 19(1), 72. https://doi.org/10.1186/s12888-019-2049-z","","","","","","","","","","",400,"appraisal"
"401",401,"ik zou liever bij anderen zijn. ","i would prefer to be alone.","company appraisal","","niet 1 2 3 4 5 6 7  zeer","","","","","","","","","","no","no","yes","no","yes","no","no","","methodological study","inez myin-germeys, inez.germeys@kuleuven.be","no","n.a.","yes, inez.germeys@kuleuven.be ","n.a.","matcham, f., barattieri di san pietro, c., bulgari, v., de girolamo, g., dobson, r., eriksson, h., … hotopf, m. (2019). remote assessment of disease and relapse in major depressive disorder (radar-mdd): a multi-centre prospective cohort study protocol. bmc psychiatry, 19(1), 72. https://doi.org/10.1186/s12888-019-2049-z","","","phone","90 seconds","","","","","","",401,"appraisal"
"402",402,"ik heb online contact met anderen op dit moment","i am interacting using online communication.","company - virtual communication","","yes/no","","","","","","","","","","no","no","yes","no","yes","no","no","","methodological study","inez myin-germeys, inez.germeys@kuleuven.be","no","n.a.","yes, inez.germeys@kuleuven.be ","n.a.","matcham, f., barattieri di san pietro, c., bulgari, v., de girolamo, g., dobson, r., eriksson, h., … hotopf, m. (2019). remote assessment of disease and relapse in major depressive disorder (radar-mdd): a multi-centre prospective cohort study protocol. bmc psychiatry, 19(1), 72. https://doi.org/10.1186/s12888-019-2049-z","","","phone","90 seconds","","","","","""this refers to contact where the other person is not physically present. for instance if you are communicating via whatsapp, skype, phone, or during gaming""","",402,"social interaction;activity"
"403",403,"globaal gezien voel ik me nu goed ","globally i feel well.","quality of life","","niet 1 2 3 4 5 6 7  zeer","","","","","","","","","","no","no","yes","no","yes","no","no","","methodological study","inez myin-germeys, inez.germeys@kuleuven.be","no","n.a.","yes, inez.germeys@kuleuven.be ","n.a.","matcham, f., barattieri di san pietro, c., bulgari, v., de girolamo, g., dobson, r., eriksson, h., … hotopf, m. (2019). remote assessment of disease and relapse in major depressive disorder (radar-mdd): a multi-centre prospective cohort study protocol. bmc psychiatry, 19(1), 72. https://doi.org/10.1186/s12888-019-2049-z","","","phone","90 seconds","","","","","","",403,"positive affect"
"404",404,"sinds de vorige piep gebruikte ik","since the last beep i have taken","substance use","participants can select more than one option.","coffee medication nicotine alcohol cannabis other drugs nothing  koffie; nicotine; alcohol; medicatie; cannabis; andere drugs; Niets","","","","","","","","","","no","no","yes","no","yes","no","no","","methodological study","inez myin-germeys, inez.germeys@kuleuven.be","no","n.a.","yes, inez.germeys@kuleuven.be ","n.a.","","the response option <food> was left out.","matcham, f., barattieri di san pietro, c., bulgari, v., de girolamo, g., dobson, r., eriksson, h.,… hotopf, m. (2019). remote assessment of disease and relapse in major depressive disorder (radar-mdd): a multi-centre prospective cohort study protocol. bmc psychiatry, 19(1), 72. https://doi.org/10.1186/s12888-019-2049-z","phone","90 seconds","","","","","","",404,"substance use"
"405",405,"wat was voor jou de belangrijkste gebeurtenis sinds de laatste beep? hoe plezierig was de gebeurtenis?","think of the most important event that happened since the last beep. this event was:","event appraisal","","zeer onplezierig -3 -2 -1 0 1 2 3 zeer plezierig","","","","","","","","","","no","no","yes","no","yes","no","no","","methodological study","inez myin-germeys, inez.germeys@kuleuven.be","no","n.a.","yes, inez.germeys@kuleuven.be ","n.a.","matcham, f., barattieri di san pietro, c., bulgari, v., de girolamo, g., dobson, r., eriksson, h., … hotopf, m. (2019). remote assessment of disease and relapse in major depressive disorder (radar-mdd): a multi-centre prospective cohort study protocol. bmc psychiatry, 19(1), 72. https://doi.org/10.1186/s12888-019-2049-z","","","phone","90 seconds","","","","","""sometimes big events happen and then it will be very easy to choose the most important event. at other times it can be more difficult. the event that you are choosing doesn't have to be objectively important, but its about what you found most important, no matter how small that event was. please pay attention to the end of the scale. ""","",405,"appraisal;event"
"406",406,"hieronder volgt een lijst met situaties die door sommige mensen als stressvol kunnen worden ervaren. geef aan welke zich hebben voorgedaan sinds de laatste beep: ","below is a list of situations that can be perceived as stressful by some people. please choose which one(s) you experienced since the last beep:","stressful situations","participants can select more than one option.","(1) ik had vervelend contact met anderen  (2) ik werd buitengesloten of genegeerd  (3) ik had last van het leed van een ander   (4) ik zat onder (tijds) druk  (5) ik heb slecht gepresteerd  (6) ik heb negatieve feedback gekregen  (7) ik heb fysiek ongemak geleden (8) ik had een tegenvaller (9) ik heb een saaie of vervelende activiteit gedaan  (10) er was (nog) een andere vervelende gebeurtenis (11) geen van de bovengenoemde (1) i had an unpleasant interaction with others (2) i was excluded or ignored (3) i was bothered by someone elses problems (4) i experienced (time) pressure (5) i performed badly (6) i received negative feedback  (7) i experienced physical discomfort (8) i experienced a setback (9) i had to perform a boring or unpleasant activity  (10) i experienced another unpleasant situation   (11) none of the options above","","","","","","","","","","no","no","yes","no","yes","no","no","","methodological study","inez myin-germeys, inez.germeys@kuleuven.be","no","n.a.","yes, inez.germeys@kuleuven.be ","n.a.","","th eitem was translated and an option of <none of these events happened> was added. ","bennik, e. (2015). every dark cloud has a colored lining: the relation between positive and negative affect and reactivity to positive and negative events. [groningen]: university of groningen.bennik, e. (2015). every dark cloud has a colored lining: the relation between positive and negative affect and reactivity to positive and negative events. [groningen]: university of groningen.bennik, e. (2015). every dark cloud has a colored lining: the relation between positive and negative affect and reactivity to positive and negative events. [groningen]: university of groningen.bennik, e. (2015). every dark cloud has a colored lining: the relation between positive and negative affect and reactivity to positive and negative events. [groningen]: university of groningen.","phone","90 seconds","","","","","","",406,"stress;event"
"407",407,"hoe stressvol waren deze gebeurtenissen bij elkaar?","how stressful were those situations taken together?","stressful situations - total stress","","niet 1 2 3 4 5 6 7  zeer","","hieronder volgt een lijst met situaties die door sommige mensen als stressvol kunnen worden ervaren. geef aan welke zich hebben voorgedaan sinds de laatste beep: ","option other than <11>","","","","","","","no","no","yes","no","yes","no","no","","methodological study","inez myin-germeys, inez.germeys@kuleuven.be","no","n.a.","yes, inez.germeys@kuleuven.be ","n.a.","eisele et al., in preparation","","","phone","90 seconds","","","","","","",407,"stress;event"
"408",408,"het kostte me moeite om de vragenlijst in te vullen","it did cost effort to answer to the questions","effort","","niet 1 2 3 4 5 6 7  zeer","","","","","","","","","","no","no","yes","no","yes","no","no","","methodological study","inez myin-germeys, inez.germeys@kuleuven.be","no","n.a.","yes, inez.germeys@kuleuven.be ","n.a.","eisele et al., in preparation","","","phone","90 seconds","","","we conducted focus groups with esm researchers to develop initial items, then revised them after piloting.","","","",408,"methodological"
"409",409,"ik heb mijn dagelijkse routine aangepast omdat ik op deze beep wachtte","i changed my daily routine because i was anticipating this beep.","adapted routine","","niet 1 2 3 4 5 6 7  zeer","","","","","","","","","","no","no","yes","no","yes","no","no","","methodological study","inez myin-germeys, inez.germeys@kuleuven.be","no","n.a.","yes, inez.germeys@kuleuven.be ","n.a.","eisele et al., in preparation","","","phone","90 seconds","","","we conducted focus groups with esm researchers to develop initial items, then revised them after piloting.","","","",409,"methodological"
