"","item_ID","label","description","english","tag_automated","check1_tag_remove","check1_tag_add","tag_automated_check1","check2_tag_remove","check2_tag_add","check2_tag_new","edited_by","tag_final"
"557",557,"ik had het druk","business","i have been busy","","","","","","","","Milla;Ben",""
"558",558,"ik ben thuis geweest","time spent at home","i have been at home","","","","","","","","Milla;Ben",""
"559",559,"ik ben in prettig gezelschap geweest","time spent in pleasant social context","i have been in pleasant company","social context","","","social context","","","social experience","Milla;Ben","social context"
"560",560,"ik ben in de buitenlucht geweest","time spent outside","i have been in the outdoor air","","","location","location","","","","Milla;Ben","location"
"561",561,"welke activiteiten heeft u de afgelopen drie uur gedaan? ","activities in the past 3 hours ","what activities did you do in the past three hours?","","","activity","activity","","","","Milla;Ben","activity"
"562",562,"ik heb nagedacht over hoe ik mij voelde","focus on feelings","i thought about how i was feeling","attention","","","attention","","emotion regulation","","Milla;Ben","attention;emotion regulation"
"563",563,"ik heb gepiekerd","brooding","i have been brooding over things","","","rumination","rumination","","","","Milla;Ben","rumination"
"564",564,"welke negatieve gebeurtenissen hebben er de afgelopen drie uur plaatsgevonden? ","negative events in the past 3 hours ","what negative events took place in the past three hours?","event;location","location","","event","","","","Milla;Ben","event"
"565",565,"hoe onplezierig waren de negatieve gebeurtenissen bij elkaar?","overall valence of negative events","how unpleasant were the negative events together?","event","","appraisal","event;appraisal","","","","Milla;Ben","event;appraisal"
"566",566,"ik heb negatieve gedachten gehad over mezelf/mijn situatie ","negative thoughts","i had negative thoughts about myself/my situation","","","negative affect;self-esteem","","","","","Milla;Ben",""
"567",567,"welke positieve gebeurtenissen hebben er de afgelopen drie uur plaatsgevonden?","positive events in the past 3 hours ","what positive events took place in the past three hours?","event;location","location","","event","","","","Milla;Ben","event"
"568",568,"hoe plezierig waren de positieve gebeurtenissen bij elkaar?","overall valence of positive events","how pleasant were the positive events together?","event","","appraisal","event;appraisal","","","","Milla;Ben","event;appraisal"
"569",569,"ik heb positieve gedachten gehad over mezelf/mijn situatie ","positive thoughts","i had positive thoughts about myself/my situation","","","positive affect;self-esteem","","","","","Milla;Ben",""
"570",570,"is dit de laatste meting van de dag?        ","verification question ","i this the last measurement of the day?","","","","","","","","Milla;Ben",""
"571",571,"ik heb zin in de komende drie uur","anticipatory pleasure","i am looking forward to the next three hours ","pleasure","","","pleasure","","","","Milla;Ben","pleasure"
"572",572,"ik heb zin in morgen","anticipatory pleasure","i am looking forward to tomorrow","pleasure","","","pleasure","","","","Milla;Ben","pleasure"
"573",573,"ik neem me voor om straks bepaalde dingen te gaan doen","motivation (intention)","i intend to undertake certain things in the next three hours","motivation","","","motivation","","","","Milla;Ben","motivation"
"574",574,"ik neem me voor om morgen bepaalde dingen te gaan doen","motivation (intention)","i intend to undertake certain things tomorrow","motivation","","","motivation","","","","Milla;Ben","motivation"
"575",575,"ik maak me zorgen over wat er de komende drie uur gaat gebeuren","worrying","i am worried about what will happen in the next three hours","anxiety;event;worry","event","","anxiety;worry","","","","Milla;Ben","anxiety;worry"
"576",576,"ik maak me zorgen over wat er morgen gaat gebeuren","worrying","i am worried about what will happen tomorrow","anxiety;event;worry","event","","anxiety;worry","","","","Milla;Ben","anxiety;worry"
"577",577,"ik kon aan wat op mijn pad kwam","coping","i was able to handle today's challenges","coping","","emotion regulation","coping;emotion regulation","","","","Milla;Ben","coping;emotion regulation"
"578",578,"ik kon mij ertoe zetten dingen te doen die ik wilde/moest doen","motivation (execution)","i could motivate myself to do the things i wanted/needed to do","motivation","","","motivation","","","","Milla;Ben","motivation"
"579",579,"ik kon negatieve gedachten makkelijk loslaten","mindfulness","i could easily let go of negative thoughts","attention","","","attention","","emotion regulation","","Milla;Ben","attention;emotion regulation"
"580",580,"vandaag ging het met mij…","retrospective well-being","today i felt…","","","","","","","","Milla;Ben",""
"581",581,"deze meting stoorde mij","hinderance by measurement","this measurement bothered me","","","methodological","methodological","","","","Milla;Ben","methodological"
"582",582,"wie geht es ihnen jetzt gerade mit ihrer beziehung?","state relationship satisfaction: relationship mood (rs-1)","how do you feel about your relationship at the moment?","evening;morning","","appraisal","appraisal","appraisal","appraisal","","Milla;Ben","appraisal"
"583",583,"wie genervt sind sie jetzt gerade von ihrem partner? (revers kodiert)","state relationship satisfaction: annoyance (rs-2)","how annoyed are you by your partner at the moment? (reverse coded)","evening;morning","","appraisal","appraisal","appraisal","appraisal","","Milla;Ben","appraisal"
"584",584,"Wie fühlen Sie sich jetzt gerade in Ihrer Partnerschaft?","state relationship satisfaction: need satisfaction (rs-3)","how are you feeling at the moment in your relationship?","evening;morning","","appraisal","appraisal","appraisal","appraisal","","Milla;Ben","appraisal"
"585",585,"wie zufrieden sind sie heute insgesamt, den ganzen tag betrachtend, mit ihrer beziehung?","daily relationship satisfaction (rs.day)","how satisfied are you today overall, looking at the whole day, with your relationship?","positive affect;evening","positive affect","appraisal","appraisal","","","","Milla;Ben","appraisal"
"586",586,"Wie fühlen Sie sich gerade? 1. Je aktivierter, desto weiter oben tippen. 2. Je wohler, desto weiter rechts tippen.","mood/affect item (mood)","how do you feel right now? 1. your answer should be higher the more active you feel. 2. your answer should be farther on the right, the better you feel.how do you feel right now?","evening;morning","","positive affect;negative affect","positive affect;negative affect","positive affect;negative affect","positive affect;negative affect","","Milla;Ben","positive affect;negative affect"
"587",587,"wie zufrieden sind sie heute, alles in allem, mit ihrem tag (nicht nur in bezug auf ihre beziehung)?","satisfaction with day (s.day)","how satisfied are you today, all in all, with your day (not just in terms of your relationship)?","positive affect;evening","","","positive affect","","","","Milla;Ben","positive affect"
"588",588,"verbringen sie jetzt gerade aktiv zeit gemeinsam mit ihrem partner?","spending time with the partner at the moment (partner)","are you spending time together with your partner at the moment?","morning","","social interaction","social interaction","","","","Milla;Ben","social interaction"
"589",589,"Stellen Sie sich nun vor, Sie bekämen jetzt ca. 30 Minuten Zeit aufgrund von Leerlauf geschenkt (freie Zeit, in der Sie keine Verpflichtungen erledigen können), die Sie mit Ihrem Partner verbringen könnten aber nicht müssten (d.h. Ihr Partner hätte gerade auch 30 Minuten Zeit und könnte in Ihrer Nähe sein). Wünschen Sie sich in dieser Zeit: Unabhängig von Ihrem Partner zu handeln und Entscheidungen zu treffen? z.B. nicht auf Ihren Partner angewiesen zu sein, nicht die Meinung Ihres Partners zu einem Thema einzuholen oder ohne die Unterstützung Ihres Partners ein Problem zu lösen.","agentic independence motivation (mot.a.ind1)","Imagine you would now get to spend approx. 30 minutes of time (free time, in which you cannot take care of duties), time which you could spend with your partner, but wouldnt have to (i.e. your partner would also have those two hours, and could be by your side). In this given time, would you wish to: To act and decide independent of your partner? e.g. dont have to rely on your partner, dont obtain the opinion of your partner on a topic or to solve a problem without the support of your partner.","motivation;morning","motivation","appraisal","appraisal","","","","Milla;Ben","appraisal"
"590",590,"Wünschen Sie sich jetzt gerade: Unabhängig von Ihrem Partner zu handeln und Entscheidungen zu treffen? z.B. nicht auf Ihren Partner angewiesen zu sein, nicht die Meinung Ihres Partners zu einem Thema einzuholen oder ohne die Unterstützung Ihres Partners ein Problem zu lösen.","agentic independence motivation (mot.a.ind1.pure  (branching variant))","Right now, would you wish to: To act and decide independent of your partner? e.g. dont have to rely on your partner, dont obtain the opinion of your partner on a topic or to solve a problem without the support of your partner.","motivation","motivation","appraisal","appraisal","","","","Milla;Ben","appraisal"
"591",591,"Stellen Sie sich nun vor, Sie bekämen jetzt ca. 30 Minuten Zeit aufgrund von Leerlauf geschenkt (freie Zeit, in der Sie keine Verpflichtungen erledigen können), die Sie mit Ihrem Partner verbringen könnten aber nicht müssten (d.h. Ihr Partner hätte gerade auch 30 Minuten Zeit und könnte in Ihrer Nähe sein). Wünschen Sie sich in dieser Zeit: Alleine Ihren eigenen Interessen nachzugehen? z.B. ein eigenes Hobby auszuüben; an einem eigenen Projekt weiterzuarbeiten.","agentic independence motivation (mot.a.ind2)","Imagine you would now get to spend approx. 30 minutes of time (free time, in which you cannot take care of duties), time which you could spend with your partner, but wouldnt have to (i.e. your partner would also have those two hours, and could be by your side). In this given time, would you wish to:  To solitarily pursue your own interests? e.g. to pursue an own hobby; to work on an own project.","motivation;morning","motivation","appraisal","appraisal","","","","Milla;Ben","appraisal"
"592",592,"Wünschen Sie sich jetzt gerade: Alleine Ihren eigenen Interessen nachzugehen? z.B. ein eigenes Hobby auszuüben; an einem eigenen Projekt weiterzuarbeiten.","agentic independence motivation (mot.a.ind2.pure (branching variant))","right now, would you wish to: to solitarily pursue your own interests? e.g. to pursue an own hobby; to work on an own project.","motivation","motivation","appraisal","appraisal","","","","Milla;Ben","appraisal"
"593",593,"Stellen Sie sich nun vor, Sie bekämen jetzt ca. 30 Minuten Zeit aufgrund von Leerlauf geschenkt (freie Zeit, in der Sie keine Verpflichtungen erledigen können), die Sie mit Ihrem Partner verbringen könnten aber nicht müssten (d.h. Ihr Partner hätte gerade auch 30 Minuten Zeit und könnte in Ihrer Nähe sein). Wünschen Sie sich in dieser Zeit: Die Gefühle oder das Verhalten von Ihrem Partner in irgendeiner Art und Weise zu beeinflussen? z.B. Ihren Partner zum Lachen zu bringen oder zu überraschen; Ihren Partner von einer Meinung zu überzeugen; Begehren bei Ihrem Partner auszulösen.","agentic power motivation (mot.a.pow1)","Imagine you would now get to spend approx. 30 minutes of time (free time, in which you cannot take care of duties), time which you could spend with your partner, but wouldnt have to (i.e. your partner would also have those two hours, and could be by your side). In this given time, would you wish to:  To influence the feelings or behavior of your partner in any way? e.g. to make your partner laugh or to surprise your partner; to convince your partner of an opinion; to cause your partner to desire you.","motivation;morning","motivation","appraisal","appraisal","","","","Milla;Ben","appraisal"
"594",594,"Wünschen Sie sich jetzt gerade: Die Gefühle oder das Verhalten von Ihrem Partner in irgendeiner Weise zu beeinflussen? z.B. Ihren Partner zum Lachen zu bringen oder zu überraschen; Ihren Partner von einer Meinung zu überzeugen; Begehren bei Ihrem Partner auszulösen.","agentic power motivation (mot.a.pow1.pure (branching variant))","right now, would you wish to: to influence the feelings or behavior of your partner in any way? e.g. to make your partner laugh or to surprise your partner; to convince your partner of an opinion; to cause your partner to desire you.","motivation","motivation","appraisal","appraisal","","","","Milla;Ben","appraisal"
"595",595,"Stellen Sie sich nun vor, Sie bekämen jetzt ca. 30 Minuten Zeit aufgrund von Leerlauf geschenkt (freie Zeit, in der Sie keine Verpflichtungen erledigen können), die Sie mit Ihrem Partner verbringen könnten aber nicht müssten (d.h. Ihr Partner hätte gerade auch 30 Minuten Zeit und könnte in Ihrer Nähe sein). Wünschen Sie sich in dieser Zeit: Dass es einen Austausch mit Ihrem Partner gibt, in dem es um Sie geht, Sie im Mittelpunkt stehen? z.B. dass Ihr Partner Ihnen volle Aufmerksamkeit schenkt; Sie Ihren Partner beeindrucken.","agentic power motivation (mot.a.pow2)","Imagine you would now get to spend approx. 30 minutes of time (free time, in which you cannot take care of duties), time which you could spend with your partner, but wouldnt have to (i.e. your partner would also have those two hours, and could be by your side). In this given time, would you wish to:  That there is an exchange with your partner, which is about you, where you are the center of attention? e.g. that your partner gives you full attention; that you impress your partner.","attention;cognition;location;motivation;morning","motivation","appraisal","attention;cognition;location;appraisal","","","","Milla;Ben","attention;cognition;location;appraisal"
"596",596,"Stellen Sie sich nun vor, Sie bekämen jetzt ca. 30 Minuten Zeit aufgrund von Leerlauf geschenkt (freie Zeit, in der Sie keine Verpflichtungen erledigen können), die Sie mit Ihrem Partner verbringen könnten aber nicht müssten (d.h. Ihr Partner hätte gerade auch 30 Minuten Zeit und könnte in Ihrer Nähe sein). Wünschen Sie sich in dieser Zeit: Dass es einen Austausch mit Ihrem Partner gibt, in dem es um Sie geht, Sie im Mittelpunkt stehen? z.B. dass Ihr Partner Ihnen volle Aufmerksamkeit schenkt; Sie Ihren Partner beeindrucken.","agentic power motivation (mot.a.pow2.pure (branching variant))","right now, would you wish to: that there is an exchange with your partner, which is about you, where you are the center of attention? e.g. that your partner gives you full attention; that you impress your partner.","attention;cognition;location;motivation","motivation","appraisal","attention;cognition;location;appraisal","","","","Milla;Ben","attention;cognition;location;appraisal"
"597",597,"Stellen Sie sich nun vor, Sie bekämen jetzt ca. 30 Minuten Zeit aufgrund von Leerlauf geschenkt (freie Zeit, in der Sie keine Verpflichtungen erledigen können), die Sie mit Ihrem Partner verbringen könnten aber nicht müssten (d.h. Ihr Partner hätte gerade auch 30 Minuten Zeit und könnte in Ihrer Nähe sein). Wünschen Sie sich in dieser Zeit: Dass Ihr Partner sich nach Ihnen richtet? z.B. dass Ihr Partner Ihre Bedürfnisse über die Eigenen stellt; Ihre Wünsche erfüllt.","agentic power motivation (mot.a.pow3)","Imagine you would now get to spend approx. 30 minutes of time (free time, in which you cannot take care of duties), time which you could spend with your partner, but wouldnt have to (i.e. your partner would also have those two hours, and could be by your side). In this given time, would you wish to: That your partner fits in with your wishes? e.g. that your partner puts your needs above his/her own; satisfies your wishes.","motivation;morning","motivation","appraisal","appraisal","","","","Milla;Ben","appraisal"
"598",598,"Wünschen Sie sich jetzt gerade: Dass Ihr Partner sich nach Ihnen richtet? z.B. dass Ihr Partner Ihre Bedürfnisse über die Eigenen stellt; Ihre Wünsche erfüllt.","agentic power motivation (mot.a.pow3.pure (branching variant))","right now, would you wish to: that your partner fits in with your wishes? e.g. that your partner puts your needs above his/her own; satisfies your wishes.","motivation","motivation","appraisal","appraisal","","","","Milla;Ben","appraisal"
"599",599,"Stellen Sie sich nun vor, Sie bekämen jetzt ca. 30 Minuten Zeit aufgrund von Leerlauf geschenkt (freie Zeit, in der Sie keine Verpflichtungen erledigen können), die Sie mit Ihrem Partner verbringen könnten aber nicht müssten (d.h. Ihr Partner hätte gerade auch 30 Minuten Zeit und könnte in Ihrer Nähe sein). Wünschen Sie sich in dieser Zeit: Erfahrungen, Gedanken oder Gefühle mit Ihrem Partner gemeinsam zu teilen? z.B. von einem Erlebnis, einer Idee, Vorfreude, Sorgen erzählen.","communal motivation (mot.c1)","Imagine you would now get to spend approx. 30 minutes of time (free time, in which you cannot take care of duties), time which you could spend with your partner, but wouldnt have to (i.e. your partner would also have those two hours, and could be by your side). In this given time, would you wish to: Share experiences, thoughts or feelings with your partner? e.g. to tell your partner about an experience, an idea, a pleasant anticipation or worries.","motivation;morning","motivation","appraisal","appraisal","","","","Milla;Ben","appraisal"
"600",600,"Wünschen Sie sich jetzt gerade: Erfahrungen, Gedanken oder Gefühle mit Ihrem Partner gemeinsam zu teilen? z.B. von einem Erlebnis, einer Idee, Vorfreude, Sorgen erzählen.","communal motivation (mot.c1.pure (branching variant))","right now, would you wish to: share experiences, thoughts or feelings with your partner? e.g. to tell your partner about an experience, an idea, a pleasant anticipation or worries.","motivation","motivation","appraisal","appraisal","","","","Milla;Ben","appraisal"
"601",601,"Stellen Sie sich nun vor, Sie bekämen jetzt ca. 30 Minuten Zeit aufgrund von Leerlauf geschenkt (freie Zeit, in der Sie keine Verpflichtungen erledigen können), die Sie mit Ihrem Partner verbringen könnten aber nicht müssten (d.h. Ihr Partner hätte gerade auch 30 Minuten Zeit und könnte in Ihrer Nähe sein). Wünschen Sie sich in dieser Zeit: Unabhängig von Ihrem Partner zu handeln und Entscheidungen zu treffen? z.B. nicht auf Ihren Partner angewiesen zu sein, nicht die Meinung Ihres Partners zu einem Thema einzuholen oder ohne die Unterstützung Ihres Partners ein Problem zu lösen.","communal motivation (mot.c2)","in this given time, would you wish to: receive emotional affection from your partner? e.g. a loving gesture or loving words. ","motivation;morning","motivation","appraisal","appraisal","","","","Milla;Ben","appraisal"
"602",602,"Wünschen Sie sich jetzt gerade: Emotionale Zuneigung von Ihrem Partner zu erhalten? z.B. eine liebevolle Geste oder liebevolle Worte.","communal motivation (mot.c2.pure (branching variant)","right now, would you wish to: receive emotional affection from your partner? e.g. a loving gesture or loving words. ","motivation","motivation","appraisal","appraisal","","","","Milla;Ben","appraisal"
"603",603,"Stellen Sie sich vor, Sie bekämen jetzt zwei Stunden Zeit aufgrund von Leerlauf geschenkt (freie Zeit, in der Sie keine Verpflichtungen erledigen können), die Sie mit Ihrem Partner verbringen könnten aber nicht müssten (d.h. Ihr Partner hätte gerade auch 2 Stunden Zeit und könnte in Ihrer Nähe sein).  Wie würden Sie diese 2h (Leerlauf-)Zeit gerade gerne nutzen?","time spending motivation (mot.ca)","Imagine you would now get to spend two hours of time (free time, in which you cannot take care of duties), time which you could spend with your partner (i.e. your partner would also have those two hours, and could be by your side).  How would you like to spend this time right now?","motivation;morning","motivation","appraisal","appraisal","","","","Milla;Ben","appraisal"
"604",604,"Denken Sie nun noch an den morgigen Tag. Stellen Sie sich vor, Sie bekämen den Tag morgen aufgrund von Leerlauf frei (freie Zeit, in der Sie keine Verpflichtungen erledigen können), den Sie mit Ihrem Partner verbringen könnten aber nicht müssten (d.h. Ihr Partner hätte morgen auch Zeit und könnte in Ihrer Nähe sein). Wie würden Sie freie Zeit morgen gerne nutzen?","next day time spending motivation (mot.ca.day)","now think of tomorrow. imagine you would get the day off tomorrow (free time, in which you cannot take care of duties), time which you could spend with your partner but not have to (i.e. your partner would also have time tomorrow and could be by your side).  how would you like to spend free time tomorrow?","motivation;evening","motivation","appraisal","appraisal","","","","Milla;Ben","appraisal"
"605",605,"Wie emotional nahe wären Sie Ihrem Partner jetzt gerade gerne? Ihr Wunsch:","closeness motivation (mot.ios)","how emotionally close would you want to be to your partner at the moment? your wish:","motivation;morning","motivation","appraisal","appraisal","","","","Milla;Ben","appraisal"
"606",606,"Seit [Uhrzeit letzte Befragung oder heute morgen]: Schätzen Sie: Wie potenziell verfügbar für gemeinsame Zeit oder Austausch war Ihr Partner (auch technisch vermittelt)?","availability of the partner (availability)","since [time of the last survey or this morning]: please estimate: how potentially available for time together or mutual contact was your partner (technically mediated as well)?","evening;morning","","appraisal","appraisal","appraisal","appraisal","","Milla;Ben","appraisal"
"607",607,"Schätzen Sie: Wie schwierig oder leicht wäre es gerade Ihren Partner zu erreichen? D.h. Mit Ihrem Partner in wechselseitigen Kontakt zu treten, also auch eine Antwort zu bekommen? (z.B. per Telefon, SMS, Messenger)  Kaum möglich ist es auch, wenn es mit vielen negativen Konsequenzen für Sie oder Ihren Partner verbunden ist oder sehr lange dauern würde.","effort of contacting partner (c.effort)","please estimate: how difficult or easy would it be to get hold of your partner? i.e. to get in contact with your partner, and to get an answer as well? (e.g. by telephone, sms, messenger)   it is also hardly possible if it is connected with many negative consequences for you or your partner or if it would last very long.please estimate: how difficult or easy would it be to get hold of your partner? i.e. to get in contact with your partner, and to get an answer as well? (e.g. by telephone, sms, messenger)","evening;morning","","appraisal","appraisal","appraisal","appraisal","","Milla;Ben","appraisal"
"608",608,"Wie schwierig oder leicht wäre es in den nächsten zwei Stunden Ihren Partner zu treffen?  Kaum möglich ist es auch, wenn es mit vielen negativen Konsequenzen für Sie oder Ihren Partner verbunden ist oder sehr lange dauern würde.","effort of meeting partner (m.effort)","how difficult or easy would it be to meet your partner right now?    it is also hardly possible if it is connected with many negative consequences for you or your partner or if it would last very long.how difficult or easy would it be to meet your partner right now? ","evening;morning","","appraisal","appraisal","appraisal","appraisal","","Milla;Ben","appraisal"
"609",609,"Seit [Uhrzeit letzte Befragung oder heute morgen]: Wie viel Zeit haben Sie tatsächlich aktiv mit Ihrem Partner gemeinsam verbracht (auch technisch vermittelt)?","time spent with the partner (time.partner)","since [time of the last survey or this morning]: how much time did you actually actively spend together with your partner (technically mediated as well)?","evening;morning","","appraisal","appraisal","appraisal","appraisal","","Milla;Ben","appraisal"
"610",610,"Zuletzt bitten wir Sie, sich an den heutigen Tag zu erinnern. Schätzen Sie: Wie viel Zeit haben Sie heute aktiv mit Ihrem Partner verbracht?","time spent with the partner that day (time.partner.day)","finally, we ask you to remember today. please etimate: how much time did you spend actively with your partner today?","evening","","social interaction","social interaction","","","","Milla;Ben","social interaction"
"611",611,"Die Zeit, die Sie heute aktiv mit Ihrem Partner verbracht haben, war für Sie...?","satisfaction with time spent with the partner that day (sat.time.partner.day)","the time you actively spent with your partner today was for you...?","evening","","appraisal","appraisal","","","","Milla;Ben","appraisal"
"612",612,"Seit [Uhrzeit letzte Befragung oder heute morgen]: Wie viel Zeit haben Sie aktiv mit anderen Personen verbracht (egal ob zusätzlich Ihr Partner dabei war oder nicht)?","time spent with others (time.others)","since [time of the last survey or this morning]: how much time did you actually actively spend together with your partner (technically mediated as well)?","evening;morning","","social interaction","social interaction","social interaction","social interaction","","Milla;Ben","social interaction"
"613",613,"Seit [Uhrzeit letzte Befragung oder heute morgen]: Wie viel Zeit sind Sie Ihren eigenen Interessen nachgegangen, wie z.B. Hobbies?","time spent for own interests (time.interests)","since [time of the last survey or this morning]: how much time did you pursue your own interests, e.g. Hobbies?","evening;morning","","activity","activity","activity","activity","","Milla;Ben","activity"
"614",614,"Schätzen Sie: Wie viel Zeit haben Sie heute für Ihre eigenen Interessen gehabt?","daily time for own interests (time.interests.day)","please estimate: how much time have you had today for your own interests?","evening","","activity","activity","","","","Milla;Ben","activity"
"615",615,"Die Zeit, die Sie heute für Ihre eigenen Interessen gehabt haben, war für Sie...?","satisfaction with time for own interests that day (sat.time.interests.day)","the time you had today for your own interests was for you...?","evening","","appraisal","appraisal","","","","Milla;Ben","appraisal"
"616",616,"Seit [Uhrzeit letzte Befragung oder heute morgen]: Wie viel Zeit haben Sie für sich alleine verbracht (ohne große Interaktionen mit Ihrem Partner oder anderen)?","time spent alone (time.alone)","since [time of the last survey or this morning]: how much time did you spent alone (without mentionable interactions with your partner or others)?","evening;morning","","social context","social context","social context","social context","","Milla;Ben","social context"
"617",617,"Seit [Uhrzeit letzte Befragung oder heute morgen]: Wie erfolgreich fühlten Sie sich?","experience of success (time.alone.erfolg)","since [time of the last survey or this morning]: how successful did you feel?","appraisal;evening;morning","","","appraisal","","","","Milla;Ben","appraisal"
"618",618,"Seit [Uhrzeit letzte Befragung oder heute morgen]: Wie geborgen fühlten Sie sich?","experience of security (time.alone.geborgen)","since [time of the last survey or this morning]: how secure did you feel?","appraisal;evening;morning","","","appraisal","","","","Milla;Ben","appraisal"
"619",619,"Wie glücklich sind Sie damit, wie Sie Ihre Zeit verbracht haben seit [Uhrzeit letzte Befragung oder heute morgen]?","satisfaction with time spent alone that day (time.alone.zufrieden)","how happy are you with how you have spent your time since [time of last survey or this morning]?","positive affect;evening;morning","","appraisal","positive affect;appraisal","positive affect;appraisal","positive affect;appraisal","","Milla;Ben","positive affect;appraisal"
"620",620,"Seit [Uhrzeit letzte Befragung oder heute morgen]: Sind eine oder mehrere der folgenden Situationen mit Ihrem Partner aufgetreten?","reciprocal behavior in the relationship (beh.b.partner)","since [time of the last survey or this morning]: have one or more of the following situations occurred with your partner?","event;evening;morning","","","event","","","","Milla;Ben","event"
"621",621,"seit [uhrzeit letzte befragung oder heute morgen]: sind eine oder mehrere der folgenden situationen mit anderen personen aufgetreten?","reciprocal behavior with others (beh.b.others  (variant for other persons))","since [time of the last survey or this morning]: have one or more of the following situations occurred with other people?","event;evening;morning","","","event","","","","Milla;Ben","event"
"622",622,"Von wem ging der stärkere Streit oder Konflikt aus?","initiator of fight / conflict (beh.b.partner.conflict.init)","who initiated the stronger fight or conflict?","evening;morning","","","","","","","Milla;Ben",""
"623",623,"Von wem ging der stärkere Streit oder Konflikt aus?","initiator of fight / conflict (beh.b.others.conflict.init (variant for other persons))","who initiated the stronger fight or conflict?","evening;morning","","","","","","","Milla;Ben",""
"624",624,"Von wem ging die liebevolle Versöhnung aus?","initiator of reconciliation (beh.b.partner.recon.init)","who initiated the loving reconciliation?","evening;morning","","","","","","","Milla;Ben",""
"625",625,"Von wem ging die liebevolle Versöhnung aus?","initiator of reconciliation (beh.b.others.recon.init (variant for other persons))","who initiated the cordial reconciliation?","evening;morning","","","","","","","Milla;Ben",""
"626",626,"Von wem ging die schwache Streitigkeit oder angespannte Meinungsverschiedenheit / Unstimmigkeit aus? ","initiator of dispute / disagreement (beh.b.partner.disagree.init)","who initiated the weak dispute or tense disagreement?","stress;evening;morning","","","stress","","","","Milla;Ben","stress"
"627",627,"Von wem ging die schwache Streitigkeit oder angespannte Meinungsverschiedenheit / Unstimmigkeit aus? ","initiator of dispute / disagreement (beh.b.others.disagree.init (variant for other persons))","who initiated the weak dispute or tense disagreement?","stress;evening;morning","","","stress","","","","Milla;Ben","stress"
"628",628,"Von wem ging die vertraute oder herzliche Aktivität, Unterhaltung oder Diskussion aus?","initiator of cordial activity / conversation / discussion (beh.b.partner.friendly.init)","who initiated the cordial activity, conversation or discussion?","activity;evening;morning","","","activity","","","","Milla;Ben","activity"
"629",629,"Von wem ging die vertraute oder herzliche Aktivität, Unterhaltung oder Diskussion aus?","initiator of cordial activity / conversation / discussion (beh.b.others.friendly.init (variant for other persons))","who initiated the cordial activity, conversation or discussion?","activity;evening;morning","","","activity","","","","Milla;Ben","activity"
"630",630,"Seit [Uhrzeit letzte Befragung oder heute morgen]: Haben Sie selbst gegenüber Ihrem Partner eine oder mehrere der folgenden Verhaltensweisen gezeigt?","own behavior in the relationship (beh.a1.partner)","Since [time of the last survey or this morning]: have you yourself shown one or more of the following behaviors towards your partner?","evening;morning","","","","","","","Milla;Ben",""
"631",631,"Seit [Uhrzeit letzte Befragung oder heute morgen]: Haben Sie selbst gegenüber Ihrem Partner eine oder mehrere der folgenden Verhaltensweisen gezeigt?","own behavior in the relationship (beh.a2.partner (extension of beh.a1.partner))","Since [time of the last survey or this morning]: Have you yourself shown one or more of the following behaviors towards other people?","evening;morning","","","","","","","Milla;Ben",""
"632",632,"Seit [Uhrzeit letzte Befragung oder heute morgen]: Haben Sie selbst gegenüber anderen Personen eine oder mehrere der folgenden Verhaltensweisen gezeigt?","own behavior towards others (beh.a1.others (variant for other persons))","since [time of the last survey or this morning]: have you yourself shown one or more of the following behaviors towards other people?","evening;morning","","","","","","","Milla;Ben",""
"633",633,"Seit [Uhrzeit letzte Befragung oder heute morgen]: Haben Sie selbst gegenüber anderen Personen eine oder mehrere der folgenden Verhaltensweisen gezeigt?","own behavior towards others (beh.a2.others (extension of beh.a1.others))","since [time of the last survey or this morning]: have you yourself shown one or more of the following behaviors towards other people?","evening;morning","","","","","","","Milla;Ben",""
"634",634,"Seit [Uhrzeit letzte Befragung oder heute morgen]: Haben Sie selbst eine oder mehrere der folgenden Verhaltensweisen gezeigt? Auch wenn Sie die Zeit seit der letzten Befragung alleine verbracht haben, könnten Sie z.B. eine nette Email geschrieben, einen Anruf ignoriert, eine Hotline kontaktiert haben.","own behavior when alone (beh.a1.alone (variant for being alone))","since [time of the last survey or this morning]: have you shown one or more of the following behaviors? even if you have spent time alone since the last survey, you may have written a nice email, ignored a call, or contacted a hotline.","avoidance;evening;morning","","","avoidance","","","","Milla;Ben","avoidance"
"635",635,"seit [uhrzeit letzte befragung oder heute morgen]: haben sie selbst eine oder mehrere der folgenden verhaltensweisen gezeigt?","own behavior when alone (beh.a2.alone (extension of beh.a1.alone))","since [time of the last survey or this morning]: have you shown one or more of the following behaviors?","evening;morning","","","","","","","Milla;Ben",""
"636",636,"Seit der letzten Befragung: Hat Ihr Partner eine oder mehrere der folgenden Verhaltensweisen Ihnen gegenüber gezeigt?","partner behavior in the relationship (beh.p1.partner)","since the last survey: has your partner showed one or more of the following behaviors towards you?","evening;morning","","","","","","","Milla;Ben",""
"637",637,"Seit der letzten Befragung: Hat Ihr Partner eine oder mehrere der folgenden Verhaltensweisen Ihnen gegenüber gezeigt?","partner behavior in the relationship (beh.p2.partner (extension of beh.p1.partner))","since the last survey: has your partner showed one or more of the following behaviors towards you?","evening;morning","","","","","","","Milla;Ben",""
